,Papel,sector
183,COGN3.SA,Consumer Defensive
184,ELET6.SA,Utilities
185,ELET3.SA,Utilities
186,OPCT3.SA,Industrials
187,LOGG3.SA,Real Estate
188,BRPR3.SA,Real Estate
189,GUAR3.SA,Consumer Cyclical
190,ITSA4.SA,Financial Services
191,HBOR3.SA,Real Estate
192,GFSA3.SA,Consumer Cyclical
193,DASA3.SA,Healthcare
194,MGLU3.SA,Consumer Cyclical
195,LWSA3.SA,Technology
196,SEQL3.SA,Industrials
197,HAPV3.SA,Healthcare
